id|code|city_id
d1abb4f6-8559-44b7-9dc8-7397d18a392e|19123|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
8ca9effc-0aa6-4ce3-b03f-f073dbcb4785|19147|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
fcf19cbf-86b9-4f23-9ca1-023d0c646ab9|19104|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
dde72e73-176f-4131-9194-3895e8494e55|19127|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
4cbe0069-55ae-42a6-8c32-b71c78088a63|19107|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
c2fd41cc-24c3-4791-a8f1-06f7f688fd4d|19143|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
d5f138fa-c87a-46be-9d86-4d78160186f2|19103|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
dced6026-4395-4f61-ba21-ced86e1e1f17|19125|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
d52a1261-77c4-4584-abac-31b009c1bf2d|19146|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
d73ff2ac-1095-4ca3-87d7-df69efb6433e|19106|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
fea273fb-dfd0-459a-989c-ab8c850c35e4|19119|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
7f03c729-dfcc-4aa3-bda0-62de08598988|19130|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
d555ba3d-c95b-4d4c-81ae-257117f6b4a8|19140|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
52fce72f-13c4-454c-a986-86e00aff0620|19118|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
1271712d-3c11-4e4d-bcc9-749e016fa238|19131|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
cbfeca40-d765-4e58-a691-7d9dae9c05b7|19141|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
e3140142-208b-43d3-b084-517ed1745a8d|19122|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
569716f0-23cd-4211-8106-014c170d47c2|19095|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
ccd9b889-72b3-44f3-9948-f8aeda9649f9|19129|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
9e49a862-71e1-4d0b-8db2-1fdc62d291aa|19102|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
ad5dd6e0-8bd8-4aeb-ac43-8f398c96f3d9|19010|ee0b9d0c-ac51-4fc9-9f37-15cd9c4c8fa8
