id|code|name|latitude|longitude|country_id
f04e568f-3ce0-4540-ab96-e2db4a45b158|PA|Pennsylvania|41.2033216|-77.1945247|cd402e30-0e46-4e8a-8623-9fdc4742a214
7226d439-3f0f-4abb-b660-e5c11eb292d9|NJ|New Jersey|40.0583238|-74.4056612|cd402e30-0e46-4e8a-8623-9fdc4742a214
24080263-af71-5fb7-92d6-8b89f7fe114b|AL|Alabama|32.3182314|-86.902298|cd402e30-0e46-4e8a-8623-9fdc4742a214
1be16b77-f731-5d98-bec1-b5926d4a6eb7|AZ|Arizona|34.0489281|-111.0937311|cd402e30-0e46-4e8a-8623-9fdc4742a214
807861bb-e166-534e-97d4-209c3530d6c0|CA|California|36.778261|-119.4179324|cd402e30-0e46-4e8a-8623-9fdc4742a214
037cfa96-2c40-5483-82bf-491da1232cca|CO|Colorado|39.5500507|-105.7820674|cd402e30-0e46-4e8a-8623-9fdc4742a214
b7618782-9816-5a81-a477-08daea410134|CT|Connecticut|41.6032207|-73.087749|cd402e30-0e46-4e8a-8623-9fdc4742a214
73b91bfd-5784-56e8-9a74-2e23cafeea24|DE|Delaware|38.9108325|-75.52766989999999|cd402e30-0e46-4e8a-8623-9fdc4742a214
0b05e9df-4cd7-52e3-b393-ea13ba495a35|FL|Florida|27.6648274|-81.5157535|cd402e30-0e46-4e8a-8623-9fdc4742a214
472e16db-89ac-5991-94e6-b5af34a7a646|GA|Georgia|32.1656221|-82.9000751|cd402e30-0e46-4e8a-8623-9fdc4742a214
2db10826-8e81-5956-916f-8d4fb4454984|IL|Illinois|40.6331249|-89.3985283|cd402e30-0e46-4e8a-8623-9fdc4742a214
cdbfbae0-e600-55fb-9c45-01e4e103716e|IN|Indiana|40.2671941|-86.1349019|cd402e30-0e46-4e8a-8623-9fdc4742a214
fdf73d39-dc78-59a7-acc6-687f5c5ab338|IA|Iowa|41.8780025|-93.097702|cd402e30-0e46-4e8a-8623-9fdc4742a214
5cd8f6c8-9e47-53f2-a96d-994df85a0670|KS|Kansas|39.011902|-98.4842465|cd402e30-0e46-4e8a-8623-9fdc4742a214
c1b84c13-d4a8-5263-b093-5bdeddda5d21|KY|Kentucky|37.8393332|-84.2700179|cd402e30-0e46-4e8a-8623-9fdc4742a214
ed2c1705-a66e-5ea6-b210-01a5da555ba1|LA|Louisiana|30.9842977|-91.96233269999999|cd402e30-0e46-4e8a-8623-9fdc4742a214
958e39fd-7b36-5f3f-8e6b-8723fa489233|ME|Maine|45.253783|-69.4454689|cd402e30-0e46-4e8a-8623-9fdc4742a214
a6e8393c-4840-56c0-9dc2-2056d77b3568|MD|Maryland|39.0457549|-76.64127119999999|cd402e30-0e46-4e8a-8623-9fdc4742a214
24cc6307-a7ec-543e-8fe8-d69182624448|MA|Massachusetts|42.4072107|-71.3824374|cd402e30-0e46-4e8a-8623-9fdc4742a214
61a42fb2-e1ac-5165-9b8e-66bc01538fbc|MI|Michigan|44.3148443|-85.60236429999999|cd402e30-0e46-4e8a-8623-9fdc4742a214
6b60d43e-8b5c-5131-b446-ca081ee038bd|MN|Minnesota|46.729553|-94.6858998|cd402e30-0e46-4e8a-8623-9fdc4742a214
6404a9a5-a6dd-5c93-be15-9a90c3c93b6e|MO|Missouri|37.9642529|-91.8318334|cd402e30-0e46-4e8a-8623-9fdc4742a214
10c62745-3109-5420-9cc6-9eed599b81d4|MT|Montana|46.8796822|-110.3625658|cd402e30-0e46-4e8a-8623-9fdc4742a214
30a67c04-1a8f-586d-afc1-3b47207c7fd8|NE|Nebraska|41.4925374|-99.9018131|cd402e30-0e46-4e8a-8623-9fdc4742a214
e27e119c-50eb-5fcd-b908-ca0cad6db488|NH|New Hampshire|43.1938516|-71.5723953|cd402e30-0e46-4e8a-8623-9fdc4742a214
117f8eeb-b7ec-539d-a18c-37624e62066e|NM|New Mexico|34.5199402|-105.8700901|cd402e30-0e46-4e8a-8623-9fdc4742a214
802fea34-63ea-5b7c-b1ed-2337e08b1fa2|NY|New York|40.7127753|-74.0059728|cd402e30-0e46-4e8a-8623-9fdc4742a214
87569844-31d9-582b-be2d-d9eb155168ec|NC|North Carolina|35.7595731|-79.01929969999999|cd402e30-0e46-4e8a-8623-9fdc4742a214
a3bc4d14-3a0d-5721-93ce-ab14976215f3|OH|Ohio|40.4172871|-82.90712300000001|cd402e30-0e46-4e8a-8623-9fdc4742a214
97d99016-13da-53b1-a433-e5880aad81a6|OR|Oregon|43.8041334|-120.5542012|cd402e30-0e46-4e8a-8623-9fdc4742a214
b8a10be3-2015-52e0-aa5c-07c339a1858a|SD|South Dakota|43.9695148|-99.9018131|cd402e30-0e46-4e8a-8623-9fdc4742a214
c7fdd401-ed04-5e4b-8268-42558c7e1e9e|TN|Tennessee|35.5174913|-86.5804473|cd402e30-0e46-4e8a-8623-9fdc4742a214
c5d124d6-9790-5c27-ba29-afc69f3b25a0|TX|Texas|31.9685988|-99.9018131|cd402e30-0e46-4e8a-8623-9fdc4742a214
a2dc4b84-2aaa-5ec8-9407-82a98ba73573|UT|Utah|39.3209801|-111.0937311|cd402e30-0e46-4e8a-8623-9fdc4742a214
d2b84fcf-471f-5e41-93d5-429c2069984b|VT|Vermont|44.5588028|-72.57784149999999|cd402e30-0e46-4e8a-8623-9fdc4742a214
d360efc2-a495-57b1-aa1e-dc7d9eb36d15|VA|Virginia|37.4315734|-78.6568942|cd402e30-0e46-4e8a-8623-9fdc4742a214
ee52288a-5488-52df-99ef-a461f8c74cd7|WA|Washington|47.7510741|-120.7401385|cd402e30-0e46-4e8a-8623-9fdc4742a214
